point,RSSI,Filtered RSSI,average rssi,average filtered rssi,Unnamed: 5
10.0,-86.0,-85.86252738714226,,,
10.0,-86.0,-85.9474901344106,,,
10.0,-84.0,-84.74387503858975,,,
10.0,-83.0,-83.66610099260875,,,
10.0,-85.0,-84.4904959167363,,,
10.0,-85.0,-84.80538675760012,,,
10.0,-85.0,-84.92566435606406,,,
10.0,-84.0,-84.3535723218422,,,
10.0,-84.0,-84.1350526094625,,,
10.0,-81.0,-82.19748354029562,,,
10.0,-84.0,-83.31149997767406,,,
10.0,-84.0,-83.73701639272656,,,
,,,,,
,,,,,
,,,,,
11.0,,,,,
11.0,-42.0,-42.0,-43.148148148148145,-43.134177361209076,
11.0,-44.0,-43.33333333333334,,,
11.0,-42.0,-42.5,,,
11.0,-44.0,-43.42857142857143,,,
11.0,-43.0,-43.16363636363636,,,
11.0,-44.0,-43.68055555555556,,,
11.0,-42.0,-42.64190981432361,,,
11.0,-44.0,-43.48125633232016,,,
11.0,-42.0,-42.56578947368421,,,
11.0,-43.0,-42.83414634146342,,,
11.0,-43.0,-42.936649539834,,,
11.0,-42.0,-42.35776828847481,,,
11.0,-43.0,-42.75468931486989,,,
11.0,-44.0,-43.52433364483923,,,
11.0,-42.0,-42.58224364213259,,,
11.0,-44.0,-43.45846525906104,,,
11.0,-44.0,-43.79315213505019,,,
11.0,-42.0,-42.68492316858973,,,
11.0,-42.0,-42.261617370719,,,
11.0,-42.0,-42.09992894356728,,,
11.0,-43.0,-42.65620344873273,,,
11.0,-44.0,-43.48671539138079,,,
11.0,-45.0,-44.42197671415954,,,
11.0,-43.0,-43.54314677359805,,,
11.0,-43.0,-43.20746360663461,,,
11.0,-43.0,-43.07924404630578,,,
11.0,-42.0,-42.41223454353284,,,
11.0,-43.0,-42.77549357304264,,,
11.0,-42.0,-42.29621218684519,,,
11.0,-44.0,-43.34921096499271,,,
11.0,-42.0,-42.51535273063318,,,
11.0,-44.0,-43.43291520440659,,,
11.0,-44.0,-43.7833928825866,,,
